country_name,countryiso3code,date,population_growth,region_name,gdp_per_capita
Papua New Guinea,PNG,2024,1.78260733820852,East Asia & Pacific,3006.70564478923
Paraguay,PRY,2024,1.23438951533718,Latin America & Caribbean ,6416.09708970845
Peru,PER,2024,1.0937871324756,Latin America & Caribbean ,8452.37167056621
Philippines,PHL,2024,0.825602488528657,East Asia & Pacific,3984.8315387656
Poland,POL,2024,-0.349832361234927,Europe & Central Asia,25103.565661423
Portugal,PRT,2024,1.09536933248007,Europe & Central Asia,29292.242104753
Puerto Rico (US),PRI,2024,-0.0155140706220036,Latin America & Caribbean ,39343.7154660139
Qatar,QAT,2024,7.32265165181291,"Middle East, North Africa, Afghanistan & Pakistan",76688.6941743178
Romania,ROU,2024,-0.0485820204761977,Europe & Central Asia,20080.2096215595
Russian Federation,RUS,2024,-0.203423663777625,Europe & Central Asia,14889.0185546875
Rwanda,RWA,2024,2.14176839550509,Sub-Saharan Africa ,999.65456165547
Samoa,WSM,2024,0.62390639530784,East Asia & Pacific,5392.87761915762
Sao Tome and Principe,STP,2024,2.0004655038868,Sub-Saharan Africa ,3490.56883486557
Saudi Arabia,SAU,2024,4.63120232685885,"Middle East, North Africa, Afghanistan & Pakistan",35121.6628687742
Senegal,SEN,2024,2.32058603495657,Sub-Saharan Africa ,1773.21829923448
Serbia,SRB,2024,-0.555761423984425,Europe & Central Asia,13679.2065983557
Seychelles,SYC,2024,1.31136094801067,Sub-Saharan Africa ,17858.8226383978
Sierra Leone,SLE,2024,2.1226891332086,Sub-Saharan Africa ,806.654650417726
Singapore,SGP,2024,1.99449365639324,East Asia & Pacific,90674.066632628
Sint Maarten (Dutch part),SXM,2024,1.39608999302398,Latin America & Caribbean ,41472.5874498583
Slovak Republic,SVK,2024,-0.0861108401600769,Europe & Central Asia,25992.6748502048
Slovenia,SVN,2024,0.326705896075754,Europe & Central Asia,34301.0318686594
Solomon Islands,SLB,2024,2.37078352276169,East Asia & Pacific,1933.55538435227
"Somalia, Fed. Rep.",SOM,2024,3.48215481810475,Sub-Saharan Africa ,629.538899449007
South Africa,ZAF,2024,1.24951426055192,Sub-Saharan Africa ,6267.186814093
Spain,ESP,2024,1.02121260938381,Europe & Central Asia,35326.7683069278
Sri Lanka,LKA,2024,-0.550589519145017,South Asia,4515.56787322732
St. Kitts and Nevis,KNA,2024,0.181622041143753,Latin America & Caribbean ,23960.6534357084
St. Lucia,LCA,2024,0.255689791113258,Latin America & Caribbean ,14181.6303351598
St. Vincent and the Grenadines,VCT,2024,-0.700214310937747,Latin America & Caribbean ,11501.2265187188
Sudan,SDN,2024,0.808373216038761,Sub-Saharan Africa ,984.607666015625
Suriname,SUR,2024,0.877853398525397,Latin America & Caribbean ,6961.78955961526
Sweden,SWE,2024,0.313432129983607,Europe & Central Asia,57117.4877440616
Switzerland,CHE,2024,1.30500749907811,Europe & Central Asia,103998.186685604
Tajikistan,TJK,2024,1.91732317936133,Europe & Central Asia,1341.20229027672
Tanzania,TZA,2024,2.87426672866542,Sub-Saharan Africa ,1186.71691894531
Thailand,THA,2024,-0.0480210554154485,East Asia & Pacific,7346.62022142185
Timor-Leste,TLS,2024,1.17433638550192,East Asia & Pacific,1331.9705130185
Togo,TGO,2024,2.2413667842624,Sub-Saharan Africa ,1119.38160509429
Trinidad and Tobago,TTO,2024,0.0601642729371072,Latin America & Caribbean ,18733.4110406494
Tunisia,TUN,2024,0.626519256572759,"Middle East, North Africa, Afghanistan & Pakistan",4181.13789301228
Turkiye,TUR,2024,0.225580501096507,Europe & Central Asia,15892.7157287241
Turkmenistan,TKM,2024,1.75064111797897,Europe & Central Asia,6856.65802730208
Turks and Caicos Islands,TCA,2024,0.726821053031156,Latin America & Caribbean ,37506.7798431288
Uganda,UGA,2024,2.75373170025335,Sub-Saharan Africa ,1077.91278452817
Ukraine,UKR,2024,0.33702862573394,Europe & Central Asia,5389.47314453125
United Arab Emirates,ARE,2024,4.68316095317394,"Middle East, North Africa, Afghanistan & Pakistan",50273.5060469837
United Kingdom,GBR,2024,1.0659564474212,Europe & Central Asia,53246.3676145108
United States,USA,2024,0.976421684505429,North America,84534.0407841548
Uruguay,URY,2024,-0.0440759548302792,Latin America & Caribbean ,23906.5133029408
Uzbekistan,UZB,2024,1.97065383660565,Europe & Central Asia,3161.70010632875
Vanuatu,VUT,2024,2.27351944261437,East Asia & Pacific,3410.77023167097
"Venezuela, RB",VEN,2024,0.369232130679939,Latin America & Caribbean ,4217.59102643391
Viet Nam,VNM,2024,0.631267006487247,East Asia & Pacific,4717.29028732449
West Bank and Gaza,PSE,2024,2.36027908447521,"Middle East, North Africa, Afghanistan & Pakistan",2592.30591217647
Zambia,ZMB,2024,2.81182258530958,Sub-Saharan Africa ,1187.10943350064
Zimbabwe,ZWE,2024,1.7804822981922,Sub-Saharan Africa ,2497.20332208763
